Partlist

Exported from SensorBoardManufacturingPanel.brd at 7/30/2017 6:36 PM

EAGLE Version 7.5.0 Copyright (c) 1988-2015 CadSoft

Assembly variant: 

Part        Value                Package                  Library           Position (mm)         Orientation

R45         470R                 0603                    rcl_upravena      (86.36 6.50875)       180
R46         470R                 0603                    rcl_upravena      (87.233125 17.541875) 0
R47         470R                 0603                    rcl_upravena      (85.4075 33.416875)   90
R48         470R                 0603                    rcl_upravena      (96.123125 9.04875)   0
R49         470R                 0603                    rcl_upravena      (96.123125 7.77875)   0
R50         10k                  0603                    rcl_upravena      (77.231875 8.969375)  90
R51         10k                  0603                    rcl_upravena      (77.231875 17.859375) 270
R52         470R                 0603                    rcl_upravena      (96.123125 6.50875)   0
R53         470R                 0603                    rcl_upravena      (96.123125 5.23875)   0
R54         470R                 0603                    rcl_upravena      (96.123125 3.96875)   0
R55         470R                 0603                    rcl_upravena      (86.6775 34.13125)    90
R56         470R                 0603                    rcl_upravena      (89.05875 2.936875)   270
R57         470R                 0603                    rcl_upravena      (86.280625 28.73375)  180
R58         470R                 0603                    rcl_upravena      (86.280625 30.00375)  180
R59         470R                 0603                    rcl_upravena      (96.04375 32.54375)   0
R60         470R                 0603                    rcl_upravena      (96.04375 31.27375)   0
R61         470R                 0603                    rcl_upravena      (95.805625 11.58875)  180
R62         470R                 0603                    rcl_upravena      (95.805625 10.31875)  180
R63         470R                 0603                    rcl_upravena      (96.04375 30.00375)   0
R64         10k                  0603                    rcl_upravena      (93.424375 1.984375)  180
R65         470R                 0603                    rcl_upravena      (96.04375 28.73375)   0
R66         470R                 0603                    rcl_upravena      (96.04375 27.46375)   0
R67         470R                 0603                    rcl_upravena      (88.979375 26.431875) 270
R68         470R                 0603                    rcl_upravena      (95.72625 35.08375)   180
R69         470R                 0603                    rcl_upravena      (95.72625 33.81375)   180
R70         10k                  0603                    rcl_upravena      (93.345 25.479375)    180
R71         470R                 0603                    rcl_upravena      (87.15375 41.036875)  0
T3          BC337                SOT23                    transistors      (7.46125 31.4325)     M180
T4          BC337                SOT23                    transistors      (10.95375 31.4325)    M180
U$2         MOLEX-47219-2001     MOLEX:47219-2001         molex            (20.47875 2.69875)    M0
U$3         BMI160LGA14          LGA14-BMI160             User-Submitted   (66.913125 40.560625) M270
U$4         LTR-329ALS-01        CHIPLED-4                pimoroni-ics     (14.525625 26.3525)   M180
U$5         BMF055               LGA-28                   BMF055           (91.1225 8.73125)     0
U3          UM18533              SOT23-5                  um185xx          (23.8125 41.91)       90
X3          USB-MICRO-B-BOTTOM   USB-MICRO-B-BOTTOM-MOLEX usb              (9.04875 43.815)      270
